Ñ 2017-03-16 00:00 ïî 2017-03-27 23:59;;;;;;;;;;;;;;;;;;
Date;Object;Means of transport;Car model;On Time. ignition;Downtime with incl. ignition;Check-out time;Check-in;Working hours;Mileage, km;Mileage, mil;Average speed, km/h;Speed (max), km/h;Mileage is not at work, km;Price;Fuel consumption of l on 100 km;Fuel consumption of l on 100 km on norm;Consumption norm;Spent fuel l
2017-03-16;9422 ÂÀÇ 21214;;;03:56:40;00:50:14;06:37;18:44;12:07;106.77;66.3;28.9;81;;;-;12;12.81;0
2017-03-17;9422 ÂÀÇ 21214;;;04:10:59;00:29:22;06:42;16:56;10:14;125.3;77.81;30.4;72;;;-;12;15.04;0
2017-03-18;9422 ÂÀÇ 21214;;;03:18:52;00:35:36;06:32;19:19;12:46;95.38;59.23;30.6;74;;;-;12;11.45;0
2017-03-19;9422 ÂÀÇ 21214;;;03:13:13;00:12:36;06:36;14:23;07:46;109.01;67.7;31;69;;;-;12;13.08;0
2017-03-20;9422 ÂÀÇ 21214;;;05:12:06;00:34:56;06:43;17:38;10:55;140.89;87.49;28.6;80;;;-;12;16.91;0
2017-03-21;9422 ÂÀÇ 21214;;;03:22:21;00:35:45;06:51;18:49;11:57;103.54;64.3;28.8;70;;;-;12;12.42;0
2017-03-22;9422 ÂÀÇ 21214;;;03:09:52;00:32:00;06:32;16:30;09:58;87.16;54.13;27.6;74;;;-;12;10.46;0
2017-03-23;9422 ÂÀÇ 21214;;;04:06:47;00:26:20;06:30;17:30;10:59;168.77;104.81;40.3;83;;;-;12;20.25;0
2017-03-24;9422 ÂÀÇ 21214;;;03:34:45;00:34:13;06:18;17:28;11:09;80.44;49.95;27.3;74;;;-;12;9.65;0
2017-03-25;9422 ÂÀÇ 21214;;;03:22:03;00:20:08;06:30;14:48;08:18;98.34;61.07;30.1;74;;;-;12;11.8;0
2017-03-26;9422 ÂÀÇ 21214;;;00:35:44;00:21:08;06:08;20:37;14:29;20.33;12.62;35.8;72;;;-;12;2.44;0
2017-03-27;9422 ÂÀÇ 21214;;;02:14:50;00:24:40;06:35;13:40;07:05;59.55;36.98;31.3;72;;;-;12;7.15;0
